parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
acad,Acadia National Park,Bar Harbor,ME,44.409286,-68.247501,290.27,293.29,90,34,2.46,1663027240,US
agfo,Agate Fossil Beds National Monument,Harrison,NE,42.42170419,-103.753886,300.18,300.28,10,0,4.69,1663027240,US
alka,Ala Kahakai National Historic Trail,Kailua-Kona,HI,19.144668109,-155.890734294,299.74,299.74,71,76,2.52,1663027240,US
alfl,Alibates Flint Quarries National Monument,Potter County,TX,35.5819662,-101.6717008,304.21,307.2,32,0,3.41,1663027241,US
alpo,Allegheny Portage Railroad National Historic Site,Gallitzin,PA,40.42977467,-78.57431622,289.52,290.93,96,64,2.01,1663027241,US
amis,Amistad National Recreation Area,Del Rio,TX,29.53539777,-101.075821,305.44,305.44,36,65,6.02,1663027241,US
ania,Aniakchak National Monument & Preserve,KIng Salmon,AK,56.85317675,-157.5544362,282.33,282.33,82,99,3.95,1663027242,US
anti,Antietam National Battlefield,Sharpsburg,MD,39.46763452,-77.73828017,293.5,296.16,94,63,2.01,1663027242,US
apis,Apostle Islands National Lakeshore,Bayfield,WI,46.96240467,-90.66045665,289.33,291.23,65,3,2.9,1663027242,US
appa,Appalachian National Scenic Trail,Harpers Ferry,WV,40.41029575,-76.4337548,294.53,296.78,94,67,1.62,1663027243,US
apco,Appomattox Court House National Historical Park,Appomattox,VA,37.38022164,-78.79856982,295.46,295.62,93,65,1.48,1663027243,US
arch,Arches National Park,Moab,UT,38.72261844,-109.5863666,301.16,301.16,26,40,6.19,1663027244,US
arpo,Arkansas Post National Memorial,Gillett,AR,34.00389998,-91.30837178,294.66,294.66,46,0,2.17,1663027244,US
asis,Assateague Island National Seashore,Berlin,MD,38.05593172,-75.24524611,297.16,299.24,86,22,5.86,1663027244,US
azru,Aztec Ruins National Monument,Aztec,NM,36.83682216,-107.9999245,301.77,302.26,26,97,3.83,1663027245,US
badl,Badlands National Park,Interior,SD,43.68584846,-102.482942,300.66,300.66,14,0,2.34,1663027245,US
band,Bandelier National Monument,Los Alamos,NM,35.77898596,-106.3317124,295.44,299.86,27,0,2.57,1663027245,US
beol,Bent's Old Fort National Historic Site,La Junta,CO,38.03977546,-103.4266499,303.46,303.46,15,0,3.44,1663027246,US
bela,Bering Land Bridge National Preserve,Nome,AK,65.96087902,-164.4086432,286.13,286.13,70,98,3.76,1663027246,US
bibe,Big Bend National Park,Big Bend National Park,TX,29.29817767,-103.2297897,299.76,301.71,30,13,1.82,1663027246,US
bicy,Big Cypress National Preserve,Ochopee,FL,25.97079602,-81.08120629,302.93,302.93,63,91,2.37,1663027247,US
biho,Big Hole National Battlefield,Wisdom,MT,45.64647324,-113.6458443,297.93,297.93,13,97,2.01,1663027247,US
biso,Big South Fork National River & Recreation Area,Oneida,TN,36.5348388,-84.66506688,289.18,290.66,67,0,1.54,1663027247,US
bith,Big Thicket National Preserve,Kountze,TX,30.457983431,-94.386742115,297.88,301.99,54,52,1.67,1663027248,US
bica,Bighorn Canyon National Recreation Area,Lovell,WY,45.13154227,-108.1443943,300.55,301.36,29,78,3.47,1663027248,US
blca,Black Canyon Of The Gunnison National Park,Montrose,CO,38.57779869,-107.7242756,299.06,303.81,9,5,2.83,1663027248,US
blri,Blue Ridge Parkway,Asheville,NC,35.5657195274,-82.486484587,291.3,294.17,89,33,0.45,1663027249,US
blue,Bluestone National Scenic River,Pipestem,WV,37.56577087,-80.98366657,290.84,291.92,92,98,1.24,1663027249,US
bowa,Booker T Washington National Monument,Hardy,VA,37.11520539,-79.73185833,294.13,296.94,88,39,0.89,1663027249,US
boha,Boston Harbor Islands National Recreation Area,Boston,MA,42.30905526,-70.93941138,293.15,297.24,89,42,2.32,1663027250,US
brca,Bryce Canyon National Park,Bryce,UT,37.58399144,-112.1826689,291.48,291.48,43,100,3.35,1663027250,US
buis,Buck Island Reef National Monument,"Christiansted, St. Croix",VI,17.81026717,-64.6222179,300.6,300.6,87,37,5.17,1663027250,VI
buff,Buffalo National River,St. Joe,AR,36.04116481,-92.90761584,293.39,295.94,52,0,0.48,1663027251,US
cabr,Cabrillo National Monument,San Diego,CA,32.6722503,-117.2415985,296.31,302.53,79,75,5.36,1663027251,US
cali,California National Historic Trail,Santa Fe,NM,42.3999643979,-108.702415369,297.33,297.33,10,0,1.54,1663027252,US
cane,Camp Nelson National Monument,Nicholasville,KY,37.7970179913,-84.598168306,289.48,293.77,63,12,3.72,1663027252,US
cana,Canaveral National Seashore,New Smyrna Beach,FL,28.78637529,-80.75419576,296.16,298.7,94,100,0,1663027253,US
cach,Canyon de Chelly National Monument,Chinle,AZ,36.14319567,-109.3388303,295.9,295.9,36,97,1.92,1663027253,US
cany,Canyonlands National Park,Moab,UT,38.24555783,-109.8801624,301.91,301.91,35,72,5.32,1663027253,US
caco,Cape Cod National Seashore,Eastham,MA,41.92381465,-70.04319832,292.04,295.23,96,87,2.68,1663027254,US
caha,Cape Hatteras National Seashore,Buxton,NC,35.41370839,-75.65061112,299.16,300.38,77,100,8.11,1663027254,US
cakr,Cape Krusenstern National Monument,Kotzebue,AK,67.41499986,-163.5037786,282.85,282.85,88,100,5.04,1663027254,US
care,Capitol Reef National Park,Torrey,UT,38.2821653131,-111.247048378,300.98,302,24,98,3.49,1663027255,US
cavo,Capulin Volcano National Monument,Capulin,NM,36.78171096,-103.9710427,295.2,296.07,26,28,3.41,1663027255,US
carl,Carl Sandburg Home National Historic Site,Flat Rock,NC,35.26815509,-82.45106258,291.31,296.51,90,34,2.89,1663027255,US
cave,Carlsbad Caverns National Park,Carlsbad,NM,32.14089463,-104.5529688,298.56,299.98,37,53,2.13,1663027256,US
cato,Catoctin Mountain Park,Thurmont,MD,39.65068457,-77.46417665,291.19,294.39,91,100,1.54,1663027256,US
cebr,Cedar Breaks National Monument,Brian Head,UT,37.63545562,-112.845268,286.96,286.96,60,100,0.63,1663027256,US
chcu,Chaco Culture National Historical Park,Nageezi,NM,36.03963414,-107.9560076,296.44,296.44,33,84,8.69,1663027257,US
cham,Chamizal National Memorial,El Paso,TX,31.76729634,-106.4544011,303.55,305.56,32,40,0.45,1663027257,US
chis,Channel Islands National Park,Ventura,CA,33.98680093,-119.9112735,295.68,298.17,81,0,5.81,1663027257,US
chpi,Charles Pinckney National Historic Site,Mount Pleasant,SC,32.84577392,-79.82487582,299.82,301.45,84,0,4.12,1663027258,US
chat,Chattahoochee River National Recreation Area,Sandy Springs,GA,33.99698333,-84.28953177,294.04,298.34,76,55,3.75,1663027258,US
choh,Chesapeake & Ohio Canal National Historical Park,Williamsport,MD,39.000283692,-77.2481399539,293.66,296.32,93,75,0.45,1663027258,US
chch,Chickamauga & Chattanooga National Military Park,Fort Oglethorpe,GA,34.94317623,-85.28749537,289.69,293.91,77,2,0.45,1663027259,US
chic,Chickasaw National Recreation Area,Sulphur,OK,34.46050507,-97.00715669,299.61,302.05,37,0,2.85,1663027259,US
chir,Chiricahua National Monument,Willcox,AZ,32.01214618,-109.341607,287.53,291.51,85,75,5.36,1663027260,US
ciro,City Of Rocks National Reserve,Almo,ID,42.0699024,-113.7124097,299.15,299.15,12,97,3.85,1663027260,US
cwdw,Civil War Defenses of Washington,Washington,DC,38.9644,-77.0292,293.58,296.74,91,100,3.6,1663027261,US
colm,Colorado National Monument,Fruita,CO,39.05045016,-108.6920709,301.22,302.71,15,0,3.09,1663027261,US
cong,Congaree National Park,Hopkins,SC,33.79187523,-80.74867805,297.58,300.32,86,81,3.9,1663027262,US
coro,Coronado National Memorial,Hereford,AZ,31.34900397,-110.2561574,290.54,296.72,49,56,5.57,1663027262,US
crla,Crater Lake National Park,Crater Lake,OR,42.94065854,-122.1338414,293.57,293.57,32,47,4.45,1663027263,US
crmo,Craters Of The Moon National Monument & Preserve,Arco,ID,43.20345611,-113.4791609,303.43,303.43,6,99,2.22,1663027263,US
cuga,Cumberland Gap National Historical Park,Middlesboro,KY,36.62503076,-83.6114083,290.22,291.79,77,0,0,1663027264,US
cuis,Cumberland Island National Seashore,St. Marys,GA,30.85857484,-81.45253575,298.16,300.15,89,100,3.25,1663027264,US
cure,Curecanti National Recreation Area,Gunnison,CO,38.46584558,-107.3303371,296.25,299.47,10,7,3.12,1663027265,US
cuva,Cuyahoga Valley National Park,Peninsula,OH,41.26093905,-81.57116722,289.43,292.52,74,4,2.44,1663027265,US
deva,Death Valley National Park,Death Valley,CA,36.48753731,-117.134395,298.19,298.19,28,91,2.98,1663027266,US
dewa,Delaware Water Gap National Recreation Area,Bushkill,PA,41.12793491,-74.94751173,294.74,296.67,95,63,1.21,1663027266,US
dena,Denali National Park & Preserve,Denali Park,AK,63.29777484,-151.0526568,283.5,283.5,63,61,1.61,1663027267,US
depo,Devils Postpile National Monument,Mammoth Lakes,CA,37.6152564,-119.0873903,283.95,287.58,75,87,1.34,1663027267,US
deto,Devils Tower National Monument,Devils Tower,WY,44.59064655,-104.7156341,296.62,298.14,28,0,2.06,1663027268,US
dino,Dinosaur National Monument,Jensen,UT,40.50739742,-108.9333714,301.13,301.15,7,0,0.78,1663027268,US
ebla,Ebey's Landing National Historical Reserve,Coupeville,WA,48.21403036,-122.6877213,289.57,296.97,66,39,4.66,1663027268,US
efmo,Effigy Mounds National Monument,Harpers Ferry,IA,43.08095081,-91.19687517,289.24,293.75,68,100,0,1663027269,US
elca,El Camino Real de Tierra Adentro National Historic Trail,Santa Fe,NM,33.7990672546,-106.866386195,299.71,299.71,35,31,7,1663027269,US
elte,El Camino Real de los Tejas National Historic Trail,Santa Fe,NM,30.0922964581,-97.3397666725,303.36,305.99,43,5,2.98,1663027270,US
elma,El Malpais National Monument,Grants,NM,34.88422799,-107.9950948,292.87,292.87,38,98,2.16,1663027270,US
elmo,El Morro National Monument,Ramah,NM,35.03895916,-108.3463984,292.85,292.85,39,97,3.62,1663027270,US
elro,Eleanor Roosevelt National Historic Site,Hyde Park,NY,41.76208482,-73.89894026,294.24,297.01,84,88,1.26,1663027271,US
ever,Everglades National Park,Homestead,FL,25.37294225,-80.88200301,302.59,302.59,73,57,2.04,1663027272,US
fiis,Fire Island National Seashore,Patchogue,NY,40.69668638,-73.00013462,294.25,297.04,93,41,2.22,1663027272,US
frst,First State National Historical Park,New Castle,DE,39.83076929,-75.56353942,295.47,298.55,87,0,0.45,1663027272,US
flni,Flight 93 National Memorial,Stoystown,PA,40.06061476,-78.89456905,289.36,290.95,95,100,3.6,1663027273,US
flfo,Florissant Fossil Beds National Monument,Florissant,CO,38.91260586,-105.2803396,292.37,296.7,18,21,2.68,1663027273,US
fobo,Fort Bowie National Historic Site,Bowie,AZ,32.14925942,-109.451132,290.51,294.5,82,53,5.4,1663027274,US
foda,Fort Davis National Historic Site,Fort Davis,TX,30.59930381,-103.8961904,294.16,295.04,81,78,1.63,1663027274,US
fodo,Fort Donelson National Battlefield,Dover,TN,36.49019078,-87.92445695,292.58,296.15,71,0,0.45,1663027274,US
fofo,Fort Foote Park,Oxon Hill,MD,38.76901785,-77.02812387,293.97,296.9,90,75,2.06,1663027275,US
fofr,Fort Frederica National Monument,St. Simons Island,GA,31.2214699,-81.39452014,300.16,300.17,78,0,4.12,1663027275,US
fomc,Fort McHenry National Monument and Historic Shrine,Baltimore,MD,39.26395314,-76.58044165,294.55,298.18,91,75,2.06,1663027275,US
fomr,Fort Monroe National Monument,Fort Monroe,VA,37.01733343,-76.30103195,299.18,301.54,74,0,5.66,1663027275,US
fone,Fort Necessity National Battlefield,Farmington,PA,39.81306048,-79.59033344,290.06,291.96,75,72,2.2,1663027276,US
fopu,Fort Pulaski National Monument,Savannah,GA,32.0308274,-80.93361681,299.29,301.48,84,99,3.18,1663027276,US
fost,Fort Stanwix National Monument,Rome,NY,43.21053441,-75.45557626,293.63,295.27,93,75,0,1663027276,US
fous,Fort Union Trading Post National Historic Site,Williston,ND,48.00075828,-104.0375238,300.88,301.53,24,49,4.47,1663027277,US
fobu,Fossil Butte National Monument,Kemmerer,WY,41.85635223,-110.7624754,298,298.04,5,4,1.9,1663027277,US
frsp,Fredericksburg & Spotsylvania National Military Park,Fredericksburg,VA,38.29378,-77.46734,293.87,296.53,86,75,1.54,1663027277,US
frhi,Friendship Hill National Historic Site,Point Marion,PA,39.77543423,-79.92504169,292.3,293.29,51,58,1.72,1663027278,US
gaar,Gates Of The Arctic National Park & Preserve,Fairbanks,AK,67.75961636,-153.2917758,275.92,275.92,98,100,0.74,1663027278,US
gewa,George Washington Birthplace National Monument,Colonial Beach,VA,38.19362603,-76.92079458,295.14,297.35,93,80,0.86,1663027278,US
gett,Gettysburg National Military Park,Gettysburg,PA,39.81557366,-77.23246758,293.25,296.44,93,70,0.83,1663027279,US
gicl,Gila Cliff Dwellings National Monument,Mimbres,NM,33.22715258,-108.2706711,293.21,293.21,61,88,2.54,1663027279,US
glba,Glacier Bay National Park & Preserve,Gustavus,AK,58.80086718,-136.8407579,277.59,277.59,94,79,1.44,1663027279,US
glac,Glacier National Park,West Glacier,MT,48.68414678,-113.8009306,293.26,293.26,32,98,2.24,1663027280,US
glca,Glen Canyon National Recreation Area,Page,AZ,36.9357464677,-111.485594268,295.93,295.93,56,99,8.9,1663027280,US
goga,Golden Gate National Recreation Area,San Francisco,CA,37.85982543,-122.6007386,289.02,299.03,88,55,6.03,1663027281,US
gosp,Golden Spike National Historical Park,"Promontory, Utah",UT,41.61947508,-112.5242653,301.67,304.63,16,91,1.53,1663027281,US
grca,Grand Canyon National Park,Grand Canyon,AZ,36.0001165336,-112.121516363,294.25,294.77,46,100,3.09,1663027281,US
para,Grand Canyon-Parashant National Monument,St. George,UT,36.41535465,-113.6682797,289.58,289.58,74,56,3.02,1663027282,US
grpo,Grand Portage National Monument,Grand Portage,MN,47.99294217,-89.75573031,287.89,290.26,80,3,2.4,1663027282,CA
grte,Grand Teton National Park,Moose,WY,43.81853565,-110.7054666,295.99,297.75,17,42,2.81,1663027282,US
grko,Grant-Kohrs Ranch National Historic Site,Deer Lodge,MT,46.41358923,-112.7467024,297.48,297.95,16,81,6.29,1663027283,US
grba,Great Basin National Park,Baker,NV,38.94617378,-114.2579782,282.04,282.04,64,90,4.68,1663027283,US
greg,Great Egg Harbor River,Estell Manor,NJ,39.3042,-74.6497,297.04,298.16,85,20,3.09,1663027284,US
grfa,Great Falls Park,McLean,VA,38.98776107,-77.25128326,293.89,296.55,91,75,0.45,1663027284,US
grsa,Great Sand Dunes National Park & Preserve,Mosca,CO,37.79256812,-105.5919572,293.45,297.21,13,4,2.54,1663027284,US
grsm,Great Smoky Mountains National Park,Gatlinburg,TN,35.60116374,-83.50818326,284.89,289.77,64,53,1.42,1663027284,US
gree,Greenbelt Park,Greenbelt,MD,38.98328267,-76.89722133,293.92,297.08,94,100,3.6,1663027285,US
gumo,Guadalupe Mountains National Park,Salt Flat,TX,31.92304462,-104.885527,296.56,296.56,35,29,0.98,1663027285,US
guis,Gulf Islands National Seashore,Gulf Breeze,FL,30.29924926,-87.75064297,298.35,301.11,88,12,2.67,1663027285,US
hafo,Hagerman Fossil Beds National Monument,Hagerman,ID,42.79074114,-114.9443074,303.88,303.88,10,100,7.52,1663027286,US
hale,Haleakalā National Park,Kula,HI,20.70693015,-156.1591775,287.62,289.03,83,55,4.18,1663027286,US
hamp,Hampton National Historic Site,Towson,MD,39.4175296,-76.58781182,293.84,297.47,92,75,2.06,1663027286,US
hafe,Harpers Ferry National Historical Park,Harpers Ferry,WV,39.31865949,-77.74088546,293.05,295.49,95,52,1.69,1663027287,US
havo,Hawaiʻi Volcanoes National Park,Hawaii National Park,HI,19.3355036,-155.4700257,294.63,294.63,61,43,4.38,1663027287,US
heho,Herbert Hoover National Historic Site,West Branch,IA,41.66793558,-91.35232139,290.35,293.83,64,94,2.95,1663027287,US
home,Homestead National Historical Park,Beatrice,NE,40.28802381,-96.83387781,302.21,302.71,32,0,0,1663027288,US
hofu,Hopewell Furnace National Historic Site,Elverson,PA,40.20610637,-75.76766355,294.45,297.99,93,69,1.76,1663027288,US
hobe,Horseshoe Bend National Military Park,Daviston,AL,32.97668879,-85.73413589,294.12,298.55,71,91,2.47,1663027288,US
hosp,Hot Springs National Park,Hot Springs,AR,34.52414366,-93.06332936,295.21,299.67,26,0,1.54,1663027289,US
hove,Hovenweep National Monument,Cortez,CO,37.39134092,-109.0047977,299.75,302.92,23,100,4.52,1663027289,US
iatr,Ice Age National Scenic Trail,Cross Plains,WI,43.9895697794,-89.5612021706,287.64,288.35,95,100,4.25,1663027289,US
indu,Indiana Dunes National Park,Porter,IN,41.63765525,-87.09647445,286.3,288.16,95,98,1.76,1663027290,US
isro,Isle Royale National Park,Houghton,MI,48.01145819,-88.82780657,288.51,288.51,70,1,3.41,1663027290,US
jeca,Jewel Cave National Monument,Custer,SD,43.73102945,-103.829994,296.77,298.24,27,0,3.3,1663027290,US
